Donor,Panel,Instrument,File name
d101,Sort,Aria,Specimen_001_NMO FNA_019.fcs
d101,Sort,Aria,Specimen_001_NMO PBMC_017.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_BL1-A.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_RL1-A.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_RL2-A.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_RL3-A.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_VL1-A.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_VL2-A.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_VL3-A.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_VL4-A.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_YL1-A.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_YL2-A.fcs
d102,B-cell,Attune,FNA NMO 002 B COMPENSATION 29052018_Compensation_YL4-A.fcs
d102,B-cell,Attune,FNA NMO 002 B PANEL 29052018_FMO_FNA.fcs
d102,B-cell,Attune,FNA NMO 002 B PANEL 29052018_FMO_PBMC.fcs
d102,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_006.fcs"
d102,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_007.fcs"
d102,Sort,Aria,"Compensation Controls_405-660,2f,20 Stained Control_008.fcs"
d102,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d102,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_005.fcs"
d102,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_009.fcs"
d102,Sort,Aria,"Compensation Controls_633-660,2f,20 Stained Control_002.fcs"
d102,Sort,Aria,"Compensation Controls_633-780,2f,60 Stained Control_003.fcs"
d102,Sort,Aria,Specimen_001_us_001.fcs
d102,Sort,Aria,Specimen_002_FMO_APC_015.fcs
d102,Sort,Aria,Specimen_002_FMO_APCCy7_011.fcs
d102,Sort,Aria,Specimen_002_FMO_BV605_012.fcs
d102,Sort,Aria,Specimen_002_FMO_BV711_014.fcs
d102,Sort,Aria,Specimen_002_FMO_PECy7_013.fcs
d102,Sort,Aria,Specimen_002_FNA_016.fcs
d102,Sort,Aria,Specimen_002_PBMC_010.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_B PANEL_FNA.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_B PANEL_PBMC.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_BL1-A.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_RL1-A.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_RL2-A.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_RL3-A.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_VL1-A.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_VL2-A.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_VL3-A.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_VL4-A.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_YL1-A.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_YL2-A.fcs
d103,B-cell,Attune,FNA NMO 003 B PANEL_Compensation_YL4-A.fcs
d103,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_005.fcs"
d103,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_006.fcs"
d103,Sort,Aria,"Compensation Controls_405-660,2f,20 Stained Control_007.fcs"
d103,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_003.fcs"
d103,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_004.fcs"
d103,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_008.fcs"
d103,Sort,Aria,"Compensation Controls_633-660,2f,20 Stained Control_001.fcs"
d103,Sort,Aria,"Compensation Controls_633-780,2f,60 Stained Control_002.fcs"
d103,Sort,Aria,Specimen_001_FNA_010.fcs
d103,Sort,Aria,Specimen_001_PBMCs_009.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_B PANEL_FNA.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_B PANEL_PBMC.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_BL1-A.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_RL1-A.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_RL2-A.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_RL3-A.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_VL1-A.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_VL2-A.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_VL3-A.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_VL4-A.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_YL1-A.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_YL2-A.fcs
d104,B-cell,Attune,FNA NMO004 B PANEL 14062018_Compensation_YL4-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_B PANEL_FNA.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_B PANEL_PBMC.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_BL1-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_RL1-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_RL2-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_RL3-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_VL1-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_VL2-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_VL3-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_VL4-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_YL1-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_YL2-A.fcs
d105,B-cell,Attune,FNA NMO 005_27072018_B_cell_panel(1)_Compensation_YL4-A.fcs
d106,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_006.fcs"
d106,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_007.fcs"
d106,Sort,Aria,"Compensation Controls_405-660,2f,20 Stained Control_008.fcs"
d106,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d106,Sort,Aria,"Compensation Controls_561-585,2f,15 Stained Control_010.fcs"
